system,ROUGE,BLEU,METEOR,BERTScore,FKGL,DCRS,CLI,LENS,AlignScore,SummaC
"ATLAS Phase B + Qwen2.5-7B-Instruct (OpenRouter, off-the-shelf)",0.3355659029005668,9.51099782268458,0.2826013450585504,0.8533789396286011,14.214037277588162,13.549701216289566,17.244884579920097,48.448255415450376,0.8839764952659608,0.9009768545627594
"ATLAS Phase B + Meta-Llama-3.1-8B-Instruct (OpenRouter proxy, off-the-shelf)",0.3398677712403817,9.264838747835142,0.277547686245902,0.8524509489536285,14.304135327448941,13.1893012338939,16.54618037253693,56.65750234817586,0.8853619873523713,0.8190040916204453
