pipeline_variant,metric,direct,pipeline,direct_minus_pipeline
generated,ROUGE,0.2859810576004969,0.32810367548025016,-0.042122617879753244
generated,BLEU,2.8024607612783017,4.563647532889581,-1.7611867716112792
generated,METEOR,0.2997475520698684,0.25254608111615373,0.047201470953714686
generated,BERTScore,0.8322553902864456,0.8504370003938675,-0.01818161010742192
generated,FKGL,12.670012129081023,11.964602218884341,0.705409910196682
generated,DCRS,11.588127685609093,12.99046011034865,-1.4023324247395568
generated,CLI,13.429249743862318,16.22323969566123,-2.7939899517989133
generated,LENS,59.198728288085704,68.74465142919712,-9.545923141111416
generated,AlignScore,0.42118767872452734,0.8669635206460953,-0.44577584192156794
generated,SummaC,0.512061370909214,0.7889495640993118,-0.27688819319009783
rewritten,ROUGE,0.2859810576004969,0.3279809116819295,-0.041999854081432586
rewritten,BLEU,2.8024607612783017,4.494612771484944,-1.6921520102066427
rewritten,METEOR,0.2997475520698684,0.25464671107035375,0.04510084099951467
rewritten,BERTScore,0.8322553902864456,0.8500239729881287,-0.017768582701683133
rewritten,FKGL,12.670012129081023,11.96704446674252,0.7029676623385033
rewritten,DCRS,11.588127685609093,12.9928520080611,-1.4047243224520063
rewritten,CLI,13.429249743862318,16.21579759695194,-2.7865478530896226
rewritten,LENS,59.198728288085704,68.56151083315027,-9.362782545064562
rewritten,AlignScore,0.42118767872452734,0.8647891581058502,-0.4436014793813229
rewritten,SummaC,0.512061370909214,0.7922401368618011,-0.28017876595258706
