model_key,provider,model,evaluation_mode,judge_model_key,judge_model,n_articles,part_b_article_af_total,part_b_gt_keep,part_b_gt_skip,part_b_recall,part_b_dangerous_skip_rate,part_b_precision,part_c_summary_af_total,part_c_selected_keep_af_total,part_c_summary_fact_recall,part_b_api_calls,part_b_total_tokens,part_b_billable_prompt_tokens,part_b_billable_output_tokens,part_b_api_elapsed_seconds,part_b_estimated_cost,part_c_api_calls,part_c_total_tokens,part_c_billable_prompt_tokens,part_c_billable_output_tokens,part_c_api_elapsed_seconds,part_c_estimated_cost,api_calls,total_tokens,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,api_elapsed_seconds,cost_currencies,estimated_cost
gpt41_mini,openai,gpt-4.1-mini,fixed_judge,gpt41,gpt-4.1,10,2342,363,1979,0.5124,0.4876,0.3966,127,1269,0.9055,4777,3701924,3220150,481774,8162.336,5.232575,220,1267844,991275,184025,2410.4906,2.227081,4997,4969768,4303969,92544,4211425,665799,665799,10572.8266,USD,7.459656
gpt4o_mini,openai,gpt-4o-mini,fixed_judge,gpt41,gpt-4.1,10,1285,180,1105,0.5222,0.4778,0.2749,127,741,0.811,2663,2071315,1825204,246111,5604.2637,2.401188,220,743875,551677,94022,1054.2532,1.05211,2883,2815190,2475057,98176,2376881,340133,340133,6658.5169,USD,3.453298
gpt5_mini,openai,gpt-5-mini,fixed_judge,gpt41,gpt-4.1,10,3298,533,2765,0.9606,0.0394,0.2377,127,2072,0.874,6689,6130530,4427070,1703460,24294.3978,9.128723,220,2081082,1603080,478002,5343.7839,3.918139,6909,8211612,6030150,0,6030150,2181462,2181462,29638.1817,USD,13.046862
gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,fixed_judge,gpt41,gpt-4.1,10,1580,231,1349,0.961,0.039,0.2124,127,842,0.874,3253,2598009,2282612,315397,5308.1489,3.984093,220,863949,748528,115421,949.5081,1.570308,3473,3461958,3031140,0,3031140,430818,430818,6257.657,USD,5.554401
gemini25_flash_non_thinking,gemini,gemini-2.5-flash,fixed_judge,gpt41,gpt-4.1,10,4019,589,3430,0.9151,0.0849,0.248,127,1649,0.8661,8131,6382482,5507518,874964,12095.1167,9.170184,220,1412488,1191268,221220,1307.755,2.640454,8351,7794970,6698786,0,6698786,1096184,1096184,13402.8717,USD,11.810638
