final_rank,team,variant,published_official_rank,raw_ROUGE,raw_BLEU,raw_METEOR,raw_BERTScore,raw_FKGL,raw_DCRS,raw_CLI,raw_LENS,raw_AlignScore,raw_SummaC,norm_ROUGE,norm_BLEU,norm_METEOR,norm_BERTScore,norm_FKGL,norm_DCRS,norm_CLI,norm_LENS,norm_AlignScore,norm_SummaC,Relevance,Readability,Factuality,Final
1,SUWMIT,,1,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682,1.0000,1.0000,0.9627,0.9130,0.8039,0.8719,0.7939,0.8514,0.6707,0.4735,0.9689,0.8303,0.5721,0.7904
2,Baseline-llama3-8B-sft,,2,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644,0.9805,0.9764,1.0000,0.8986,0.7299,0.8368,0.7222,0.8546,0.6215,0.3894,0.9639,0.7859,0.5054,0.7517
3,Baseline-qwen2.5-7B-sft,,3,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644,0.9122,0.8504,0.9317,1.0000,0.6479,0.7542,0.5932,0.6917,0.6777,0.3894,0.9236,0.6717,0.5335,0.7096
4,thesis_laysumm (rewritten),rewritten,,0.317,7.410,0.258,0.848,11.764,13.271,16.134,59.518,0.926,0.902,0.7416,0.7008,0.6501,0.6869,0.8000,0.0063,0.1571,0.6826,0.9801,0.9598,0.6948,0.4115,0.9699,0.6921
5,BDA-UCM,,4,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590,0.8244,0.7762,0.8758,1.0000,0.7106,0.8348,0.6828,0.7413,0.5671,0.2699,0.8691,0.7424,0.4185,0.6766
6,thesis_laysumm (generated),generated,,0.302,5.744,0.241,0.847,11.746,13.301,16.257,65.745,0.938,0.901,0.6662,0.5134,0.5451,0.6715,0.8029,0.0000,0.1350,0.7629,1.0000,0.9587,0.5991,0.4252,0.9794,0.6679
7,MetinOZU,,5,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920,0.8049,0.6490,0.8509,0.8116,0.0466,0.4299,0.0000,0.3648,0.9007,1.0000,0.7791,0.2103,0.9503,0.6466
8,TupiQ,,7,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642,0.8293,0.6727,0.7143,0.8841,0.5305,0.5600,0.6326,0.4783,0.6917,0.3850,0.7751,0.5504,0.5384,0.6213
9,MIRAGES,,6,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605,0.6000,0.3881,0.4783,0.6522,0.8087,1.0000,0.8996,0.8341,0.5495,0.3031,0.5296,0.8856,0.4263,0.6139
10,LaySummX,,8,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521,0.7610,0.4792,0.6211,0.7826,0.7090,0.7831,0.6505,0.9526,0.5390,0.1173,0.6610,0.7738,0.3281,0.5876
11,CUTN_Bio,,9,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549,0.5024,0.2328,0.4534,0.6812,1.0000,0.9215,1.0000,1.0000,0.3880,0.1792,0.4675,0.9804,0.2836,0.5771
12,Aard,,10,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509,0.7512,0.4803,0.8696,0.7246,0.3505,0.6778,0.2957,0.8372,0.5741,0.0907,0.7064,0.5403,0.3324,0.5264
13,5cNLP,,12,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549,0.8195,0.5579,0.7143,0.8406,0.1077,0.5993,0.2993,0.8957,0.4617,0.1792,0.7331,0.4755,0.3205,0.5097
14,LTRC,,11,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476,0.6000,0.3476,0.4286,0.7101,0.5434,0.8265,0.6667,0.9381,0.4091,0.0177,0.5216,0.7437,0.2134,0.4929
15,RainCityNLP,,13,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653,0.5805,0.4151,0.5466,0.5652,0.0000,0.3390,0.1380,0.0367,0.4284,0.4093,0.5268,0.1284,0.4188,0.3580
16,SXZ,,14,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3039,0.6667,0.0000,0.8673,0.1327,0.0042,0.4094,0.5000,0.3046
17,demo,,15,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3039,0.6667,0.0000,0.8673,0.1327,0.0042,0.4094,0.5000,0.3046
18,x2z,,16,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468,0.0829,0.0000,0.0932,0.0435,0.6656,0.9793,0.7814,0.7303,0.0000,0.0000,0.0549,0.7892,0.0000,0.2814
