"system_name","model_key","run_name","sample_scope","article_count","ROUGE","BLEU","METEOR","BERTScore","FKGL","DCRS","CLI","LENS","AlignScore","SummaC"
"GPT-5.4 Mini direct","gpt54_mini","direct_zero_shot_pilot20_gpt54mini_raw_article","pilot20: PLOS10 + eLife10","20","0.300619376419828","3.25725549665524","0.286187216739478","0.838344797492027","12.0933893179389","11.2571935481916","12.9647004588606","70.043783049355","0.479285454750061","0.530960385501385"
"Gemini 2.5 Flash direct","gemini25_flash_non_thinking","direct_zero_shot_validation284_raw_article","validation284: PLOS142 + eLife142","284","0.288867270787756","3.216437083606","0.310450979131856","0.83465994034015","11.9511986751624","11.3480985995097","12.7980973512005","64.5093497496114","0.458295198341071","0.557977441226093"
"Gemini 3 Flash Preview direct","gemini3_flash_preview_minimal","direct_zero_shot_validation284_raw_article","validation284: PLOS142 + eLife142","284","0.290210203673121","2.82233724561065","0.297147312351307","0.831202681425592","12.3263829695272","11.4460288088174","12.9154214410766","58.6645840750832","0.375424282441676","0.514600762808827"
"GPT-4.1 Mini direct","gpt41_mini","direct_zero_shot_validation284_raw_article","validation284: PLOS142 + eLife142","284","0.313173423170652","4.77974010629085","0.293810573037009","0.846838101534776","13.1718672858116","11.7659377206833","13.737877030698","75.6964773022615","0.502732726312439","0.484562900809335"
