pipeline_variant,metric,direct,pipeline,direct_minus_pipeline
generated,ROUGE,0.3072603511861266,0.29716173580346994,0.010098615382656662
generated,BLEU,4.445571577401727,5.077675528920788,-0.6321039515190616
generated,METEOR,0.3014438533334869,0.22954393898318437,0.07189991435030252
generated,BERTScore,0.846923291683197,0.8469455271959305,-2.223551273350388e-05
generated,FKGL,13.04221079941921,11.541543801382065,1.5006669980371452
generated,DCRS,11.623597309103086,13.543339276767082,-1.9197419676639953
generated,CLI,13.92082883652369,16.116677516528185,-2.195848680004495
generated,LENS,76.65957261628989,68.1430541043878,8.516518511902092
generated,AlignScore,0.5302171885967255,0.8622997164726257,-0.3320825278759002
generated,SummaC,0.48222891539335255,0.8211905270814897,-0.3389616116881371
rewritten,ROUGE,0.3072603511861266,0.319698819559977,-0.012438468373850375
rewritten,BLEU,4.445571577401727,7.133504795588053,-2.687933218186326
rewritten,METEOR,0.3014438533334869,0.2518389531519073,0.04960490018157959
rewritten,BERTScore,0.846923291683197,0.8495107561349868,-0.0025874644517898115
rewritten,FKGL,13.04221079941921,11.483259479996889,1.558951319422322
rewritten,DCRS,11.623597309103086,13.51961903140909,-1.8960217223060027
rewritten,CLI,13.92082883652369,15.946391470350399,-2.025562633826709
rewritten,LENS,76.65957261628989,59.95940800637812,16.700164609911774
rewritten,AlignScore,0.5302171885967255,0.8655896663665772,-0.3353724777698517
rewritten,SummaC,0.48222891539335255,0.8589603036642075,-0.37673138827085495
