pipeline_variant,metric,direct,pipeline,direct_minus_pipeline
generated,ROUGE,0.29261164074435086,0.30489497547449157,-0.012283334730140705
generated,BLEU,3.3820356457872878,6.15866362689082,-2.776627981103532
generated,METEOR,0.31395793011476547,0.23864499150571242,0.07531293860905305
generated,BERTScore,0.8377321243286133,0.847356104850769,-0.009623980522155628
generated,FKGL,11.7033194063121,12.11434992650712,-0.41103052019501973
generated,DCRS,11.340875518433005,13.456629421265863,-2.115753902832857
generated,CLI,13.023409166195005,16.588207291774744,-3.5647981255797383
generated,LENS,65.40452765427926,66.33131193737736,-0.926784283098101
generated,AlignScore,0.512195622175932,0.941337987780571,-0.42914236560463903
generated,SummaC,0.5208310648798943,0.9187874168157577,-0.39795635193586343
rewritten,ROUGE,0.29261164074435086,0.32390083144376125,-0.031289190699410385
rewritten,BLEU,3.3820356457872878,8.207904569601956,-4.825868923814668
rewritten,METEOR,0.31395793011476547,0.26355588508141514,0.05040204503335033
rewritten,BERTScore,0.8377321243286133,0.8483900099992752,-0.010657885670661837
rewritten,FKGL,11.7033194063121,12.01920428869898,-0.31588488238687873
rewritten,DCRS,11.340875518433005,13.382183630770577,-2.041308112337571
rewritten,CLI,13.023409166195005,16.433809463878717,-3.4104002976837116
rewritten,LENS,65.40452765427926,58.472852588102214,6.93167506617705
rewritten,AlignScore,0.512195622175932,0.9328356713056565,-0.4206400491297245
rewritten,SummaC,0.5208310648798943,0.9240107715129853,-0.403179706633091
