final_rank,team,variant,published_official_rank,raw_ROUGE,raw_BLEU,raw_METEOR,raw_BERTScore,raw_FKGL,raw_DCRS,raw_CLI,raw_LENS,raw_AlignScore,raw_SummaC,norm_ROUGE,norm_BLEU,norm_METEOR,norm_BERTScore,norm_FKGL,norm_DCRS,norm_CLI,norm_LENS,norm_AlignScore,norm_SummaC,Relevance,Readability,Factuality,Final
1,SUWMIT,,1,0.370,10.070,0.308,0.864,11.740,9.080,12.580,72.610,0.750,0.682,1.0000,1.0000,0.9627,0.9130,0.8039,0.8761,0.7939,0.8514,0.6594,0.4591,0.9689,0.8313,0.5593,0.7865
2,Baseline-llama3-8B-sft,,2,0.366,9.860,0.314,0.863,12.200,9.250,12.980,72.860,0.722,0.644,0.9805,0.9764,1.0000,0.8986,0.7299,0.8421,0.7222,0.8546,0.6111,0.3776,0.9639,0.7872,0.4943,0.7485
3,Baseline-qwen2.5-7B-sft,,3,0.352,8.740,0.303,0.870,12.710,9.650,13.700,60.220,0.754,0.644,0.9122,0.8504,0.9317,1.0000,0.6479,0.7622,0.5932,0.6917,0.6663,0.3776,0.9236,0.6737,0.5220,0.7064
4,thesis_laysumm (rewritten),rewritten,,0.314,7.077,0.256,0.849,11.921,13.399,16.417,56.440,0.935,0.924,0.7289,0.6633,0.6389,0.6889,0.7748,0.0128,0.1063,0.6430,0.9783,0.9785,0.6800,0.3842,0.9784,0.6809
5,BDA-UCM,,4,0.334,8.080,0.294,0.870,12.320,9.260,13.200,64.070,0.691,0.590,0.8244,0.7762,0.8758,1.0000,0.7106,0.8401,0.6828,0.7413,0.5575,0.2618,0.8691,0.7437,0.4096,0.6741
6,thesis_laysumm (generated),generated,,0.295,5.908,0.236,0.847,11.992,13.464,16.519,66.486,0.947,0.934,0.6348,0.5318,0.5151,0.6708,0.7633,0.0000,0.0881,0.7724,1.0000,1.0000,0.5881,0.4060,1.0000,0.6647
7,MetinOZU,,5,0.330,6.950,0.290,0.857,16.450,11.220,17.010,34.860,0.881,0.920,0.8049,0.6490,0.8509,0.8116,0.0466,0.4484,0.0000,0.3648,0.8855,0.9698,0.7791,0.2150,0.9276,0.6406
8,TupiQ,,7,0.335,7.160,0.268,0.862,13.440,10.590,13.480,43.670,0.762,0.642,0.8293,0.6727,0.7143,0.8841,0.5305,0.5743,0.6326,0.4783,0.6801,0.3733,0.7751,0.5540,0.5267,0.6186
9,MIRAGES,,6,0.288,4.630,0.230,0.846,11.710,8.460,11.990,71.270,0.681,0.605,0.6000,0.3881,0.4783,0.6522,0.8087,1.0000,0.8996,0.8341,0.5403,0.2939,0.5296,0.8856,0.4171,0.6108
10,LaySummX,,8,0.321,5.440,0.253,0.855,12.330,9.510,13.380,80.460,0.675,0.521,0.7610,0.4792,0.6211,0.7826,0.7090,0.7902,0.6505,0.9526,0.5299,0.1137,0.6610,0.7756,0.3218,0.5861
11,CUTN_Bio,,9,0.268,3.250,0.226,0.848,10.520,8.840,11.430,84.140,0.589,0.549,0.5024,0.2328,0.4534,0.6812,1.0000,0.9241,1.0000,1.0000,0.3815,0.1738,0.4675,0.9810,0.2776,0.5754
12,Aard,,10,0.319,5.450,0.293,0.851,14.560,10.020,15.360,71.510,0.695,0.509,0.7512,0.4803,0.8696,0.7246,0.3505,0.6882,0.2957,0.8372,0.5645,0.0880,0.7064,0.5429,0.3262,0.5252
13,5cNLP,,12,0.333,6.140,0.268,0.859,16.070,10.400,15.340,76.050,0.631,0.549,0.8195,0.5579,0.7143,0.8406,0.1077,0.6123,0.2993,0.8957,0.4540,0.1738,0.7331,0.4788,0.3139,0.5086
14,LTRC,,11,0.288,4.270,0.222,0.850,13.360,9.300,13.290,79.340,0.601,0.476,0.6000,0.3476,0.4286,0.7101,0.5434,0.8321,0.6667,0.9381,0.4022,0.0172,0.5216,0.7451,0.2097,0.4921
15,RainCityNLP,,13,0.284,4.870,0.241,0.840,16.740,11.660,16.240,9.410,0.612,0.653,0.5805,0.4151,0.5466,0.5652,0.0000,0.3605,0.1380,0.0367,0.4212,0.3969,0.5268,0.1338,0.4090,0.3566
16,SXZ,,14,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3265,0.6667,0.0000,0.8527,0.1287,0.0042,0.4151,0.4907,0.3033
17,demo,,15,0.165,1.330,0.153,0.801,12.590,11.830,13.290,6.560,0.862,0.528,0.0000,0.0169,0.0000,0.0000,0.6672,0.3265,0.6667,0.0000,0.8527,0.1287,0.0042,0.4151,0.4907,0.3033
18,x2z,,16,0.182,1.180,0.168,0.804,12.600,8.560,12.650,63.220,0.368,0.468,0.0829,0.0000,0.0932,0.0435,0.6656,0.9800,0.7814,0.7303,0.0000,0.0000,0.0549,0.7893,0.0000,0.2814
